,City,Country,Lat,Lng,Hotel Name
112,Juba, SS,4.85,31.58,Regency Hotel
113,Avarua, CK,-21.21,-159.78,
114,Nikolskoye, RU,59.7,30.79,
115,Itaituba, BR,-4.28,-55.98,Hotel Açaí
116,Mabaruma, GY,8.2,-59.78,
117,Abéché, TD,13.83,20.83,Ecobank
118,Kinlochleven, GB,56.71,-4.97,
119,Constitución, CL,-35.33,-72.42,Hotel Boutique Las Azucenas
120,Moshi, TZ,-3.35,37.33,The Secret Garden Hotel
121,Mehamn, NO,71.04,27.85,Mehamn Arctic Hotel AS
122,Yellowknife, CA,62.46,-114.35,Days Inn & Suites by Wyndham Yellowknife
123,Nemuro, JP,43.32,145.57,Oyado Ekuhashi
124,Beyneu, KZ,45.32,55.2,NUR
125,Sørland, NO,67.67,12.69,
126,Sovetskaya Gavan', RU,48.97,140.29,HOTEL SOVETSKAYA GAVAN
127,Moose Factory, CA,51.26,-80.61,The Sunflower Guesthouse
128,Camacha, PT,33.08,-16.33,Nítidos Aromas
129,Cidreira, BR,-30.18,-50.21,Hotel Castelo
130,Qaanaaq, GL,77.48,-69.36,
131,Tahoua, NE,14.89,5.27,Centre Formation En Informatique Les Jeunes
132,Toguchin, RU,55.24,84.39,
133,Kupang, ID,-10.17,123.58,
134,Numan, NG,9.47,12.03,Total - Numan Ferry Service Station
135,Yarmouth, US,41.71,-70.23,
136,Fairbanks, US,64.84,-147.72,SpringHill Suites by Marriott Fairbanks
137,Marana, US,32.44,-111.23,
138,Bonthe, SL,7.53,-12.51,
139,Valparaíso, CL,-33.04,-71.63,Hotel Gervasoni
140,Hastings, GB,50.86,0.57,Alexander's Hotel Hastings
141,Flinders, AU,-34.58,150.86,
142,Sola, VU,-13.88,167.55,
143,Broken Hill, AU,-31.95,141.43,
144,Eslöv, SE,55.84,13.3,Stensson
145,Monaghan, IE,54.25,-6.97,Westenra Arms Hotel
146,Saskylakh, RU,71.92,114.08,
147,Puerto Escondido, MX,15.85,-97.07,
148,Lubango, AO,-14.92,13.49,Hotel Lubango
149,Port Alfred, ZA,-33.59,26.89,MyPond Hotel
150,Chokurdakh, RU,70.63,147.92,Sberbank Rossii
151,Saldanha, ZA,-33.01,17.94,Protea Hotel by Marriott Saldanha Bay
152,Havelock, US,34.88,-76.9,Havelock Inn & Suites
153,Adrar, MR,20.5,-10.07,
154,Balgazyn, RU,51.0,95.2,
155,Vostok, RU,46.49,135.88,
156,Benjamin Constant, BR,-4.38,-70.03,
157,Kudahuvadhoo, MV,2.67,72.89,Dhaalu Inn Kudahuvadhoo by Atoll Hotels
158,Trelew, AR,-43.25,-65.31,Hotel Libertador
159,Cockburn Town, TC,21.46,-71.14,Turks Head Inne
160,Riyadh, SA,24.69,46.72,Grand Plaza Gulf Hotel
161,Kununurra, AU,-15.77,128.73,Ivanhoe Village Caravan Resort
162,Aripuanã, BR,-9.17,-60.63,
163,Ures, MX,29.43,-110.4,
164,Pecos, US,31.42,-103.49,Laura lodge
165,Bay Roberts, CA,47.6,-53.26,
166,Hokitika, NZ,-42.72,170.97,Beachfront Hotel Hokitika
167,Saint-Augustin, CA,51.23,-58.65,Saint-Augustin
168,Tilichiki, RU,60.47,166.1,
169,Namatanai, PG,-3.67,152.43,
170,Carnarvon, AU,-24.87,113.63,
171,Nome, US,64.5,-165.41,Aurora Inn & Suites
172,Khatanga, RU,71.97,102.5,
173,Ciudad Bolivar, VE,8.12,-63.55,Hotel Paoca
174,Severodvinsk, RU,64.56,39.83,Лазурит
175,Chui, UY,-33.7,-53.46,Descanso al Paso Chuy
176,Biak, ID,-0.91,122.88,
177,Bokoro, TD,12.38,17.06,
178,Nanortalik, GL,60.14,-45.24,Hotel Kap Farvel
179,Timizart, DZ,36.8,4.27,
180,Wamba, NG,8.93,8.6,
181,Praia, CV,14.92,-23.51,Hotel Santa Maria
182,São Filipe, CV,14.9,-24.5,Hotel Xaguate
183,Sinnamary, GF,5.38,-52.95,
184,Pimentel, PE,-6.84,-79.93,
185,Marzuq, YE,14.4,46.47,
186,Gemena, CD,3.25,19.77,
187,Los Llanos de Aridane, ES,28.66,-17.92,Hotel Edén La Palma
188,São Sepé, BR,-30.16,-53.57,
189,Sept-Îles, CA,50.2,-66.38,Château Arnaud
190,Champerico, GT,14.3,-91.92,
191,Fairlie, GB,55.76,-4.86,
192,Fécamp, FR,49.76,0.37,Hôtel Le Grand Pavois
193,Kamina, CD,-8.74,24.99,WANGU RTV
194,Meulaboh, ID,4.14,96.13,Hotel Meuligoe
195,Kaitangata, NZ,-46.28,169.85,
196,Pandan, PH,14.05,124.17,TGP The Generics Pharmacy
197,Pevek, RU,69.7,170.31,Sberbank Rossii
198,Cheltenham, GB,51.9,-2.08,Queens Hotel Cheltenham - MGallery
199,Tambopata, PE,-12.73,-69.18,
200,Arraial do Cabo, BR,-22.97,-42.03,Hotel Pousada Caminho do Sol
201,Laas, IT,46.62,10.7,
202,Ponta do Sol, PT,32.67,-17.1,
203,Glenwood Springs, US,39.55,-107.32,Glenwood Hot Springs Lodge
204,Kernersville, US,36.12,-80.07,
205,La Ronge, CA,55.1,-105.28,The Harbour Inn
206,Oriximiná, BR,-1.77,-55.87,Hotel Mapuera
207,Churapcha, RU,62.0,132.43,
208,Meadow Lake, US,34.8,-106.54,
209,Ancud, CL,-41.87,-73.82,Hotel Balai
210,Cayenne, GF,4.93,-52.33,HOTEL KER ALBERTE
211,Auki, SB,-8.77,160.7,Auki Lodge
212,Esil, KZ,51.96,66.4,Gostinitsa Mechta
213,Zbarazh, UA,49.66,25.78,
214,Turukhansk, RU,65.82,87.98,
215,Leningradskiy, RU,69.38,178.42,
216,Fortuna, US,40.6,-124.16,Fortuna Redwood Inn
217,Touros, BR,-5.2,-35.46,
218,Valleyview, CA,55.07,-117.29,Western Valley Inn
219,Ashquelon, IL,31.67,34.57,"גולדן טאוור הוטל בע""מ"
220,Pisco, PE,-13.7,-76.22,
221,Ilhabela, BR,-23.78,-45.36,Hotel Maison Joly
222,Sitka, US,57.05,-135.33,Sitka Hotel
223,Bilibino, RU,68.05,166.44,Sberbank
224,Byron Bay, AU,-28.65,153.62,Byron Bay Hotel and Apartments - Boutique Accommodation
225,Naze, JP,28.37,129.48,
226,Ilulissat, GL,69.22,-51.1,Hotel Hvide Falk
227,Inírida, CO,3.87,-67.92,La Cabaña Guainiana
228,Klaksvík, FO,62.23,-6.59,Hotel Klaksvík
229,Saint George, US,37.1,-113.58,Red Lion Hotel & Conference Center St. George
230,Robertson, US,36.52,-86.87,
231,Lorengau, PG,-2.02,147.27,Lorengau Harbourside Hotel
232,Tiznit Province, MA,29.58,-9.5,
233,Ouadda, CF,8.08,22.4,
234,Lavrentiya, RU,65.58,-171.0,Sberbank Rossii
235,Hofn, IS,64.25,-15.21,Skýjaborg apartments
236,Tiksi, RU,71.69,128.87,Arktika
237,Port Macquarie, AU,-31.43,152.92,ibis Styles Port Macquarie
238,Santa Lucía, ES,27.91,-15.54,Casa Rural Santa Lucía
239,Port Lincoln, AU,-34.73,135.87,Port Lincoln YHA
240,Progreso, MX,21.28,-89.67,Maria's Hotel Nicte-Ha and Suites
241,Yubileynyy, RU,58.78,57.78,
242,Solenzo, BF,12.18,-4.08,Solenzo
243,Clyde River, CA,70.47,-68.59,Naujaaraaluit – Clyde River Hotel
244,Kankan, GN,10.39,-9.31,
245,Le Vauclin, MQ,14.55,-60.84,Hotel Chez Julot
246,Chifeng, CN,42.27,118.96,Chifeng Hotel
247,Sauda, NO,59.65,6.35,Klover Hotel
248,Hualmay, PE,-11.1,-77.61,Hotel La Casa Del Algodon
249,Bengkulu, ID,-3.8,102.27,Hotel Santika Bengkulu
250,Camaná, PE,-16.62,-72.71,Hotel de Turistas
251,Houston, US,29.76,-95.36,"Hotel ICON, Autograph Collection"
252,The Valley, AI,18.22,-63.06,
253,Arinos, BR,-15.92,-46.11,Hotel Dias
254,Safaga, EG,26.73,33.94,Dolphin Hotel
255,Minbu, MM,20.18,94.88,
256,Salinópolis, BR,-0.61,-47.36,Hotel Salinópolis
257,Jadu, LY,31.95,12.03,
258,Havøysund, NO,71.0,24.66,Havøysund Hotel & Rorbuer
259,Juneau, US,58.3,-134.42,Four Points by Sheraton Juneau
260,La Palma, US,33.85,-118.05,
261,Makakilo City, US,21.35,-158.09,
262,Morehead, US,37.27,-87.18,
263,Aquiraz, BR,-3.9,-38.39,
264,Raudeberg, NO,61.99,5.14,
265,Horasan, TR,40.05,42.17,
266,Cabo San Lucas, MX,22.89,-109.91,Hacienda Beach Club & Residences
267,Malumfashi, NG,11.79,7.62,
268,Iwanai, JP,42.97,140.51,
269,Ostrovnoy, RU,68.05,39.51,Sberbank Rossii
270,Seddon, AU,-37.81,144.89,
271,San Francisco, US,37.77,-122.42,Oak Hotel
272,Klyuchevsk, RU,57.12,60.94,
273,Kuching, MY,1.55,110.33,Serapi Hotel
274,Dingle, PH,11.0,122.67,
275,São José da Coroa Grande, BR,-8.9,-35.15,Pousada Vivenda Oriente
276,Quatre Cocos, MU,-20.21,57.76,
277,Narsaq, GL,60.92,-46.05,
278,Bandarbeyla, SO,9.49,50.81,
279,Luau, AO,-10.71,22.22,Banco BIC - Agência Luau
280,Isangel, VU,-19.55,169.27,Apera Beach Front Bungalows
281,Bubaque, GW,11.28,-15.83,
282,Geraldton, AU,-28.77,114.6,
